,passedCount,machine,employeeID,timestamp
0,230,Cadillac,,2022-10-21 11:25:05
1,250,Ford,,2022-10-21 11:28:00
2,200,Toyota,,2022-10-21 11:35:05
0,205,Cadillac,,2022-10-21 11:25:05
1,260,Ford,,2022-10-21 11:28:00
2,190,Toyota,,2022-10-21 11:35:05
0,225,Cadillac,,2022-10-21 11:25:05
1,255,Ford,,2022-10-21 11:28:00
2,195,Toyota,,2022-10-21 11:35:05
0,210,Cadillac,,2022-10-21 11:25:05
1,260,Ford,,2022-10-21 11:28:00
2,180,Toyota,,2022-10-21 11:35:05
0,200,Cadillac,,2022-10-21 11:25:05
1,255,Ford,,2022-10-21 11:28:00
2,200,Toyota,,2022-10-21 11:35:05
0,225,Cadillac,,2022-10-21 11:25:05
1,260,Ford,,2022-10-21 11:28:00
2,185,Toyota,,2022-10-21 11:35:05
0,230,Cadillac,,2022-10-21 11:25:05
1,235,Ford,,2022-10-21 11:28:00
2,180,Toyota,,2022-10-21 11:35:05
0,235,Cadillac,,2022-10-21 11:25:05
1,260,Ford,,2022-10-21 11:28:00
2,205,Toyota,,2022-10-21 11:35:05
0,240,Cadillac,,2022-10-21 11:25:05
1,270,Ford,,2022-10-21 11:28:00
2,210,Toyota,,2022-10-21 11:35:05
0,225,Cadillac,,2022-10-21 11:25:05
1,270,Ford,,2022-10-21 11:28:00
2,195,Toyota,,2022-10-21 11:35:05
0,215,Cadillac,,2022-10-21 11:25:05
1,245,Ford,,2022-10-21 11:28:00
2,190,Toyota,,2022-10-21 11:35:05
0,230,Cadillac,,2022-10-21 11:25:05
1,260,Ford,,2022-10-21 11:28:00
2,200,Toyota,,2022-10-21 11:35:05
0,245,Cadillac,,2022-10-21 11:25:05
1,265,Ford,,2022-10-21 11:28:00
2,205,Toyota,,2022-10-21 11:35:05
0,235,Cadillac,,2022-10-21 11:25:05
1,255,Ford,,2022-10-21 11:28:00
2,201,Toyota,,2022-10-21 11:35:05
0,225,Cadillac,,2022-10-21 11:25:05
1,260,Ford,,2022-10-21 11:28:00
2,195,Toyota,,2022-10-21 11:35:05
