,failedCount,machine,employeeID,timestamp
0,4,Cadillac,,2022-10-21 11:25:16
1,0,Ford,,2022-10-21 11:28:15
2,0,Toyota,,2022-10-21 11:28:15
0,3,Cadillac,,2022-10-21 11:25:16
1,5,Ford,,2022-10-21 11:28:15
2,4,Toyota,,2022-10-21 11:28:15
0,3,Cadillac,,2022-10-21 11:25:16
1,5,Ford,,2022-10-21 11:28:15
2,6,Toyota,,2022-10-21 11:28:15
0,1,Cadillac,,2022-10-21 11:25:16
1,7,Ford,,2022-10-21 11:28:15
2,4,Toyota,,2022-10-21 11:28:15
0,2,Cadillac,,2022-10-21 11:25:16
1,8,Ford,,2022-10-21 11:28:15
2,2,Toyota,,2022-10-21 11:28:15
0,4,Cadillac,,2022-10-21 11:25:16
1,3,Ford,,2022-10-21 11:28:15
2,1,Toyota,,2022-10-21 11:28:15
0,7,Cadillac,,2022-10-21 11:25:16
1,5,Ford,,2022-10-21 11:28:15
2,2,Toyota,,2022-10-21 11:28:15
