,passedCount,machine,employeeID,timestamp
0,230,Machine One,,2022-10-21 11:25:05
1,290,Machine Two,,2022-10-21 11:28:00
1,410,Machine One,,2022-10-21 11:28:00
1,300,Machine One,,2022-10-21 11:28:00
1,320,Machine Two,,2022-10-21 11:28:00
1,120,Machine Three,,2022-10-21 11:28:00
1,120,Machine Three,,2022-10-21 11:28:00
1,120,Machine Three,,2022-10-21 11:28:00
1,120,Machine Three,,2022-10-21 11:28:00
1,120,Machine Three,,2022-10-21 11:28:00
1,120,Machine Three,,2022-10-21 11:28:00
1,120,Machine Three,,2022-10-21 11:28:00
1,120,Machine Three,,2022-10-21 11:28:00
1,120,Machine Three,,2022-10-21 11:28:00
